sentence
"It was the right thing to do. And by the way, it will actually help the state's finances."
...Will continue to seek ways to increase the independence of the Cuban people.
"When I talk to my daughters and their friends, I think they are more tolerant, more welcoming of people who are different than them, more sophisticated about different cultures and what's happening around the world."
"Our kids only get one shot at a decent education. They cannot afford to wait any longer. So given that Congress cannot act, I am acting."
Starting today...
"Oh, that's funny, see, because I was just dialing out for pizza."
"You need to be like a family 'cause I'm assuming you have to share pretty cramped quarters and a bathroom. So, you know, my wife and my daughters are always crowding me out."
"My belief is that most families want healthcare, but they can't afford it."
"Most families want health care, but they can't afford it."
